Title,Location,Price,Area,Number of Rooms,Interior
                        Apartment Rijnsburgstraat                            ,            1059 AV Amsterdam (Hoofddorppleinbuurt)        ,"                €2,250 per month            ",80 m²,3 rooms,Furnished
                        Apartment Czaar Peterstraat                            ,            1018 PW Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €1,375 per month            ",34 m²,2 rooms,Upholstered or furnished
                        Apartment Buiten Vissersstraat                            ,            1013 GB Amsterdam (Haarlemmerbuurt)        ,"                €2,250 per month            ",49 m²,2 rooms,Upholstered or furnished
                        Apartment Waldenlaan 322                            ,            1093 NH Amsterdam (Dapperbuurt)        ,"                €1,850 per month            ",71 m²,1 room,Furnished
                        Apartment Lutmastraat 223 hs                            ,            1074 TX Amsterdam (Zuid Pijp)        ,"                €2,250 per month            ",71 m²,2 rooms,Furnished
                        Apartment Orteliuskade 26 2                            ,            1057 AD Amsterdam (Hoofdweg e.o.)        ,"                €1,950 per month            ",55 m²,3 rooms,Furnished
                        Apartment Hoofdweg                            ,            1058 BC Amsterdam (Westindische Buurt)        ,"                €3,500 per month            ",155 m²,6 rooms,Upholstered
                        Apartment Oudezijds Achterburgwal                            ,            1012 DG Amsterdam (Burgwallen-Oude Zijde)        ,"                €2,150 per month            ",99 m²,3 rooms,Upholstered
                        Studio Haparandaweg                            ,            1013 BD Amsterdam (Houthavens)        ,"                €1,900 per month            ",43 m²,2 rooms,Furnished
                        Apartment Uiterwaardenstraat                            ,            1079 CK Amsterdam (Rijnbuurt)        ,"                €2,400 per month            ",95 m²,4 rooms,Furnished
                        Apartment Hasebroekstraat                            ,            1053 CM Amsterdam (Kinkerbuurt)        ,"                €1,715 per month            ",70 m²,2 rooms,Furnished
                        Apartment Singel                            ,            1012 WP Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,150 per month            ",55 m²,2 rooms,Furnished
                        Apartment Ganzenweg                            ,            1021 CP Amsterdam (IJplein/Vogelbuurt)        ,"                €1,749 per month            ",75 m²,3 rooms,Furnished
                        Apartment Quellijnstraat 80 3                            ,            1072 XW Amsterdam (Oude Pijp)        ,"                €2,750 per month            ",85 m²,3 rooms,Upholstered or furnished
                        Apartment Balboastraat                            ,            1057 VT Amsterdam (Hoofdweg e.o.)        ,"                €2,250 per month            ",57 m²,3 rooms,Furnished
                        House Gerard Ruttenhof 15                            ,            1087 EL Amsterdam (IJburg West)        ,"                €2,950 per month            ",158 m²,4 rooms,Upholstered
                        Apartment Bolestein                            ,            1081 EC Amsterdam (Buitenveldert-West)        ,"                €2,250 per month            ",88 m²,3 rooms,Furnished
                        Apartment Leksmondhof 9                            ,            1108 EM Amsterdam (Nellestein)        ,"                €1,650 per month            ",76 m²,3 rooms,Upholstered
                        Apartment Frans van Mierisstraat                            ,            1071 RR Amsterdam (Museumkwartier)        ,"                €2,900 per month            ",100 m²,3 rooms,Furnished
                        Apartment Keizersgracht 489 C2                            ,            1017 DM Amsterdam (Grachtengordel-Zuid)        ,"                €2,500 per month            ",84 m²,2 rooms,Furnished
                        Apartment Van Nijenrodeweg 7                            ,            1083 EA Amsterdam (Buitenveldert-Oost)        ,"                €2,200 per month            ",88 m²,3 rooms,Upholstered or furnished
                        Apartment Vrolikstraat                            ,            1092 TV Amsterdam (Oosterparkbuurt)        ,"                €2,250 per month            ",75 m²,3 rooms,Furnished
                        Apartment Westerdoksdijk 327                            ,            1013 AD Amsterdam (Haarlemmerbuurt)        ,"                €2,650 per month            ",85 m²,3 rooms,Furnished
                        House Nieuwe Keizersgracht 14 G                            ,            1018 DR Amsterdam (Weesperbuurt/Plantage)        ,"                €2,450 per month            ",50 m²,2 rooms,Upholstered or furnished
                        Apartment Govert Flinckstraat 119 1                            ,            1072 EG Amsterdam (Oude Pijp)        ,"                €2,270 per month            ",54 m²,2 rooms,Furnished
                        Apartment Marcusstraat                            ,            1091 TJ Amsterdam (Weesperzijde)        ,"                €2,000 per month            ",49 m²,2 rooms,Furnished
                        Apartment Jozef Israëlskade                            ,            1073 RC Amsterdam (Zuid Pijp)        ,"                €1,850 per month            ",47 m²,2 rooms,Furnished
                        Apartment Weesperzijde                            ,            1091 EB Amsterdam (Weesperzijde)        ,"                €2,500 per month            ",75 m²,3 rooms,Furnished
                        Apartment Palmgracht 103                            ,            1015 HL Amsterdam (Jordaan)        ,"                €1,800 per month            ",58 m²,3 rooms,Furnished
                        Apartment Bestevâerstraat 106 H                            ,            1056 HS Amsterdam (Landlust)        ,"                €2,450 per month            ",98 m²,4 rooms,Furnished
                        Apartment Oudezijds Voorburgwal 183 II (A                            ,            1012 EW Amsterdam (Burgwallen-Oude Zijde)        ,"                €1,750 per month            ",50 m²,2 rooms,Furnished
                        Apartment Van Baerlestraat 44                            ,            1071 AZ Amsterdam (Museumkwartier)        ,"                €2,650 per month            ",70 m²,3 rooms,Upholstered
                        Apartment Chestertonlaan                            ,"            1102 XT Amsterdam (Bijlmer Centrum (D,F,H))        ","                €1,400 per month            ",65 m²,2 rooms,Upholstered
                        Apartment Jan Tooropstraat 623                            ,            1061 AE Amsterdam (Overtoomse Veld)        ,"                €2,250 per month            ",88 m²,3 rooms,Upholstered
                        Apartment Willem van Weldammelaan 86                            ,            1082 KW Amsterdam (Buitenveldert-West)        ,"                €2,750 per month            ",125 m²,4 rooms,Upholstered
                        Apartment Marcusstraat 117                            ,            1091 TJ Amsterdam (Weesperzijde)        ,"                €2,900 per month            ",117 m²,4 rooms,Furnished
                        Apartment Bella Vistastraat 146                            ,            1096 GM Amsterdam (Omval/Overamstel)        ,"                €2,500 per month            ",90 m²,2 rooms,Furnished
                        Apartment Louise de Colignystraat                            ,            1055 XL Amsterdam (Landlust)        ,"                €2,000 per month            ",59 m²,2 rooms,Upholstered
                        Apartment Montfoorthof 53                            ,            1106 JN Amsterdam (Holendrecht/Reigersbos)        ,"                €1,650 per month            ",72 m²,3 rooms,Furnished
                        Apartment Leerdamhof 407                            ,            1108 CJ Amsterdam (Nellestein)        ,"                €1,975 per month            ",100 m²,4 rooms,Upholstered or furnished
                        Apartment Overtoom                            ,            1054 JR Amsterdam (Overtoomse Sluis)        ,"                €2,850 per month            ",85 m²,3 rooms,Upholstered
                        Apartment Kalkmarkt                            ,            1011 BC Amsterdam (Nieuwmarkt/Lastage)        ,"                €1,795 per month            ",45 m²,2 rooms,Furnished
                        Apartment Beysterveld                            ,            1083 KA Amsterdam (Buitenveldert-Oost)        ,"                €2,750 per month            ",110 m²,3 rooms,Furnished
                        Apartment Van Hallstraat                            ,            1051 GX Amsterdam (Staatsliedenbuurt)        ,"                €2,150 per month            ",50 m²,2 rooms,Furnished
                        Apartment Albert Cuypstraat                            ,            1072 CN Amsterdam (Oude Pijp)        ,"                €2,600 per month            ",100 m²,3 rooms,Upholstered
                        Apartment Keizersgracht                            ,            1017 ES Amsterdam (Grachtengordel-Zuid)        ,"                €2,750 per month            ",78 m²,2 rooms,Furnished
                        Apartment Lijnbaansgracht                            ,            1017 XA Amsterdam (De Weteringschans)        ,"                €2,300 per month            ",68 m²,3 rooms,Furnished
                        Apartment Da Costakade                            ,            1053 XE Amsterdam (Van Lennepbuurt)        ,"                €3,650 per month            ",130 m²,4 rooms,Furnished
                        Apartment Keizersgracht                            ,            1017 ES Amsterdam (Grachtengordel-Zuid)        ,"                €2,750 per month            ",80 m²,2 rooms,Furnished
                        Apartment Pieter de Hoochstraat                            ,            1071 ED Amsterdam (Museumkwartier)        ,"                €3,700 per month            ",130 m²,3 rooms,Furnished
                        Apartment Laurierstraat 77 C                            ,            1016 PJ Amsterdam (Jordaan)        ,"                €1,295 per month            ",30 m²,2 rooms,Upholstered
                        Apartment Vossiusstraat 10 2                            ,            1071 AB Amsterdam (Museumkwartier)        ,"                €2,100 per month            ",75 m²,1 room,Furnished
                        House Eef Kamerbeekpad 1                            ,            1095 MZ Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €3,500 per month            ",160 m²,5 rooms,Upholstered or furnished
                        Apartment Hogewerf                            ,            1082 NG Amsterdam (Buitenveldert-Oost)        ,"                €2,250 per month            ",85 m²,2 rooms,Furnished
                        Apartment Vätternkade                            ,            1060 PK Amsterdam (Middelveldsche Akerpolder)        ,"                €2,450 per month            ",120 m²,4 rooms,Upholstered or furnished
                        Apartment Burgemeester Hogguerstraat                            ,            1064 CK Amsterdam (Slotermeer-Zuidwest)        ,"                €1,750 per month            ",78 m²,3 rooms,Furnished
                        Apartment Overamstelstraat                            ,            1091 TM Amsterdam (Weesperzijde)        ,"                €2,095 per month            ",80 m²,3 rooms,Furnished
                        Apartment Tweede Kostverlorenkade 137 3                            ,            1053 SE Amsterdam (Van Lennepbuurt)        ,"                €1,995 per month            ",62 m²,3 rooms,Upholstered
                        Apartment Krammerstraat 33 A                            ,            1078 KG Amsterdam (Scheldebuurt)        ,"                €2,700 per month            ",150 m²,4 rooms,Upholstered
                        Apartment Burgemeester Hogguerstraat 737                            ,            1064 EA Amsterdam (Slotermeer-Zuidwest)        ,"                €2,250 per month            ",100 m²,5 rooms,Furnished
                        Apartment Lijnbaansgracht 265 1                            ,            1017 RL Amsterdam (De Weteringschans)        ,"                €1,675 per month            ",45 m²,3 rooms,Upholstered
                        Apartment Van Nijenrodeweg 366                            ,            1082 HE Amsterdam (Buitenveldert-West)        ,"                €2,100 per month            ",87 m²,3 rooms,Upholstered or furnished
                        House Akerpolderstraat                            ,            1066 ET Amsterdam (Sloter-/Riekerpolder)        ,"                €3,500 per month            ",169 m²,6 rooms,Upholstered
                        Apartment Nida Senffstraat                            ,            1095 MX Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €1,595 per month            ",63 m²,2 rooms,Furnished
                        Apartment Prinsengracht 533 I                            ,            1016 HS Amsterdam (Grachtengordel-West)        ,"                €1,900 per month            ",40 m²,2 rooms,Upholstered or furnished
                        Apartment Da Costakade 28 IV                            ,            1052 SJ Amsterdam (Da Costabuurt)        ,"                €2,250 per month            ",84 m²,3 rooms,Upholstered
                        House Pijlkruidstraat 1                            ,            1087 CE Amsterdam (IJburg West)        ,"                €2,750 per month            ",135 m²,5 rooms,Upholstered
                        Apartment Rie Mastenbroekstraat 47                            ,            1095 MJ Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €1,750 per month            ",70 m²,3 rooms,Upholstered or furnished
                        Apartment Derde Schinkelstraat 4 A                            ,            1075 TL Amsterdam (Schinkelbuurt)        ,"                €2,650 per month            ",70 m²,4 rooms,Upholstered
                        Apartment Wijttenbachstraat                            ,            1093 JD Amsterdam (Dapperbuurt)        ,"                €2,500 per month            ",100 m²,4 rooms,Upholstered
                        Apartment Tweede Jan van der Heijdenstraat 3 H                            ,            1073 VE Amsterdam (Oude Pijp)        ,"                €6,000 per month            ",149 m²,5 rooms,Furnished
                        Apartment Ophemerthof                            ,            1106 XD Amsterdam (Holendrecht/Reigersbos)        ,"                €1,850 per month            ",115 m²,5 rooms,Furnished
                        Apartment Orteliusstraat 58 H                            ,            1057 BD Amsterdam (Hoofdweg e.o.)        ,"                €1,950 per month            ",69 m²,2 rooms,Upholstered
                        Apartment Uiterwaardenstraat                            ,            1079 DE Amsterdam (Scheldebuurt)        ,"                €2,100 per month            ",72 m²,3 rooms,Upholstered
                        Apartment Nieuwezijds Voorburgwal                            ,            1012 SB Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €1,850 per month            ",50 m²,2 rooms,Upholstered
                        Apartment Rie Mastenbroekstraat                            ,            1095 MJ Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €1,750 per month            ",55 m²,2 rooms,Furnished
                        Apartment Gustav Mahlerlaan 931 9                            ,            1082 MK Amsterdam (Zuidas)        ,"                €3,400 per month            ",110 m²,3 rooms,Furnished
                        Apartment Keizersgracht                            ,            1017 DL Amsterdam (Grachtengordel-Zuid)        ,"                €3,450 per month            ",120 m²,3 rooms,Furnished
                        Apartment Galileïplantsoen                            ,            1098 NC Amsterdam (Middenmeer)        ,"                €3,500 per month            ",140 m²,4 rooms,Upholstered
                        Apartment H. Diesveldsingel                            ,            1060 RL Amsterdam (Middelveldsche Akerpolder)        ,"                €1,750 per month            ",100 m²,3 rooms,Furnished
                        Apartment Borneostraat                            ,            1094 CJ Amsterdam (Indische Buurt West)        ,"                €2,200 per month            ",107 m²,3 rooms,Furnished
                        Apartment Jan van Galenstraat 183 1                            ,            1056 BS Amsterdam (Van Galenbuurt)        ,"                €1,750 per month            ",50 m²,2 rooms,Upholstered
                        Apartment Céramiquelaan                            ,            1031 KG Amsterdam (Noordelijke IJ-oevers West)        ,"                €4,000 per month            ",110 m²,4 rooms,Furnished
                        Apartment Nieuwezijds Voorburgwal 255                            ,            1012 RL Amsterdam (Burgwallen-Nieuwe Zijde)        ,"                €2,650 per month            ",111 m²,3 rooms,Upholstered
                        Apartment Overtoom                            ,            1054 HZ Amsterdam (Helmersbuurt)        ,"                €2,250 per month            ",76 m²,2 rooms,Upholstered
                        Apartment Haparandaweg                            ,            1013 BD Amsterdam (Houthavens)        ,"                €1,750 per month            ",50 m²,2 rooms,Furnished
                        Apartment Keizersgracht                            ,            1016 GB Amsterdam (Grachtengordel-West)        ,"                €1,195 per month            ",35 m²,2 rooms,Furnished
                        Apartment Maria Austriastraat                            ,            1087 CN Amsterdam (IJburg West)        ,"                €2,350 per month            ",130 m²,4 rooms,Furnished
                        Apartment Van Boshuizenstraat 295                            ,            1083 AX Amsterdam (Buitenveldert-Oost)        ,"                €2,000 per month            ",74 m²,3 rooms,Furnished
                        Apartment Pieter Cornelisz. Hooftstraat                            ,            1071 CD Amsterdam (Museumkwartier)        ,"                €1,850 per month            ",60 m²,2 rooms,Furnished
                        Apartment Oostelijke Handelskade                            ,            1019 DN Amsterdam (Oostelijk Havengebied)        ,"                €2,850 per month            ",100 m²,3 rooms,Furnished
                        Apartment Jacob van Lennepkade                            ,            1054 ZG Amsterdam (Helmersbuurt)        ,"                €1,950 per month            ",56 m²,2 rooms,Furnished
                        Apartment Van Tuyll van Serooskerkenweg 110 3                            ,            1076 JR Amsterdam (Stadionbuurt)        ,"                €4,250 per month            ",125 m²,5 rooms,Furnished
                        Apartment Jasonstraat 51 2                            ,            1076 KZ Amsterdam (Stadionbuurt)        ,"                €2,800 per month            ",120 m²,4 rooms,Upholstered
                        Apartment Cornelis Schuytstraat 25 2+3                            ,            1071 JD Amsterdam (Museumkwartier)        ,"                €3,950 per month            ",150 m²,4 rooms,Upholstered
                        Apartment Saxen-Weimarlaan                            ,            1075 BZ Amsterdam (Willemspark)        ,"                €2,850 per month            ",90 m²,3 rooms,Upholstered
                        Apartment Nieuwe Leliestraat                            ,            1015 SP Amsterdam (Jordaan)        ,"                €2,750 per month            ",73 m²,3 rooms,Furnished
                        Apartment Vincent van Goghstraat                            ,            1072 KX Amsterdam (Nieuwe Pijp)        ,"                €1,900 per month            ",80 m²,2 rooms,Furnished
                        Apartment Rustenburgerstraat                            ,            1074 EP Amsterdam (Nieuwe Pijp)        ,"                €1,950 per month            ",58 m²,2 rooms,Furnished
                        Apartment Wijenburg 94                            ,            1082 VX Amsterdam (Buitenveldert-West)        ,"                €1,950 per month            ",63 m²,4 rooms,Upholstered
                        Apartment Jan Luijkenstraat 70 C                            ,            1071 CS Amsterdam (Museumkwartier)        ,"                €2,400 per month            ",75 m²,3 rooms,Upholstered
                        Apartment Grootzeil                            ,            1034 LV Amsterdam (Banne Buiksloot)        ,"                €2,250 per month            ",93 m²,4 rooms,Furnished
                        Apartment De Lairessestraat                            ,            1071 PL Amsterdam (Museumkwartier)        ,"                €2,300 per month            ",86 m²,2 rooms,Furnished
                        House Johannes Verhulststraat 151 H                            ,            1075 GW Amsterdam (Willemspark)        ,"                €11,000 per month            ",255 m²,10 rooms,Upholstered
                        Apartment Kwakersstraat 25                            ,            1053 WC Amsterdam (Kinkerbuurt)        ,"                €2,500 per month            ",73 m²,3 rooms,Furnished
                        Apartment Brederodestraat 25 D                            ,            1054 MR Amsterdam (Helmersbuurt)        ,"                €2,200 per month            ",60 m²,3 rooms,Furnished
                        Apartment Stadionkade 70 2                            ,            1077 VS Amsterdam (Apollobuurt)        ,"                €2,850 per month            ",110 m²,3 rooms,Upholstered
                        Apartment Vondelkerkstraat                            ,            1054 KX Amsterdam (Overtoomse Sluis)        ,"                €2,950 per month            ",77 m²,3 rooms,Furnished
