Title,Year,Director,Lead Actors,Rating,Rating Count
The Shawshank Redemption,1994,Frank Darabont ,"Tim Robbins, Morgan Freeman",9.2,"2,640,914"
The Godfather,1972,Francis Ford Coppola ,"Marlon Brando, Al Pacino",9.2,"1,830,640"
The Dark Knight,2008,Christopher Nolan ,"Christian Bale, Heath Ledger",9.0,"2,612,595"
The Godfather Part II,1974,Francis Ford Coppola ,"Al Pacino, Robert De Niro",9.0,"1,254,996"
12 Angry Men,1957,Sidney Lumet ,"Henry Fonda, Lee J. Cobb",8.9,"779,694"
Schindler's List,1993,Steven Spielberg ,"Liam Neeson, Ralph Fiennes",8.9,"1,338,975"
The Lord of the Rings: The Return of the King,2003,Peter Jackson ,"Elijah Wood, Viggo Mortensen",8.9,"1,816,882"
Pulp Fiction,1994,Quentin Tarantino ,"John Travolta, Uma Thurman",8.8,"2,021,049"
The Lord of the Rings: The Fellowship of the Ring,2001,Peter Jackson ,"Elijah Wood, Ian McKellen",8.8,"1,841,167"
"Il buono, il brutto, il cattivo",1966,Sergio Leone ,"Clint Eastwood, Eli Wallach",8.8,"754,210"
Forrest Gump,1994,Robert Zemeckis ,"Tom Hanks, Robin Wright",8.8,"2,044,485"
Fight Club,1999,David Fincher ,"Brad Pitt, Edward Norton",8.7,"2,084,785"
Inception,2010,Christopher Nolan ,"Leonardo DiCaprio, Joseph Gordon-Levitt",8.7,"2,315,773"
The Lord of the Rings: The Two Towers,2002,Peter Jackson ,"Elijah Wood, Ian McKellen",8.7,"1,640,666"
The Empire Strikes Back,1980,Irvin Kershner ,"Mark Hamill, Harrison Ford",8.7,"1,276,506"
The Matrix,1999,Lana Wachowski ,"Keanu Reeves, Laurence Fishburne",8.7,"1,889,390"
Goodfellas,1990,Martin Scorsese ,"Robert De Niro, Ray Liotta",8.7,"1,144,129"
One Flew Over the Cuckoo's Nest,1975,Milos Forman ,"Jack Nicholson, Louise Fletcher",8.6,"997,742"
Se7en,1995,David Fincher ,"Morgan Freeman, Brad Pitt",8.6,"1,624,419"
Shichinin no samurai,1954,Akira Kurosawa ,"Toshirô Mifune, Takashi Shimura",8.6,"343,670"
It's a Wonderful Life,1946,Frank Capra ,"James Stewart, Donna Reed",8.6,"451,469"
The Silence of the Lambs,1991,Jonathan Demme ,"Jodie Foster, Anthony Hopkins",8.6,"1,411,459"
Cidade de Deus,2002,Fernando Meirelles ,"Alexandre Rodrigues, Leandro Firmino",8.6,"750,544"
Saving Private Ryan,1998,Steven Spielberg ,"Tom Hanks, Matt Damon",8.6,"1,372,849"
La vita è bella,1997,Roberto Benigni ,"Roberto Benigni, Nicoletta Braschi",8.6,"687,287"
The Green Mile,1999,Frank Darabont ,"Tom Hanks, Michael Clarke Duncan",8.6,"1,282,481"
Interstellar,2014,Christopher Nolan ,"Matthew McConaughey, Anne Hathaway",8.6,"1,783,942"
Star Wars,1977,George Lucas ,"Mark Hamill, Harrison Ford",8.6,"1,349,205"
Terminator 2: Judgment Day,1991,James Cameron ,"Arnold Schwarzenegger, Linda Hamilton",8.5,"1,086,288"
Back to the Future,1985,Robert Zemeckis ,"Michael J. Fox, Christopher Lloyd",8.5,"1,185,767"
Sen to Chihiro no kamikakushi,2001,Hayao Miyazaki ,"Daveigh Chase, Suzanne Pleshette",8.5,"750,423"
Psycho,1960,Alfred Hitchcock ,"Anthony Perkins, Janet Leigh",8.5,"664,383"
The Pianist,2002,Roman Polanski ,"Adrien Brody, Thomas Kretschmann",8.5,"820,677"
Léon,1994,Luc Besson ,"Jean Reno, Gary Oldman",8.5,"1,146,582"
Gisaengchung,2019,Bong Joon Ho ,"Song Kang-ho, Lee Sun-kyun",8.5,"776,216"
The Lion King,1994,Roger Allers ,"Matthew Broderick, Jeremy Irons",8.5,"1,044,455"
Gladiator,2000,Ridley Scott ,"Russell Crowe, Joaquin Phoenix",8.5,"1,480,403"
American History X,1998,Tony Kaye ,"Edward Norton, Edward Furlong",8.5,"1,111,549"
The Departed,2006,Martin Scorsese ,"Leonardo DiCaprio, Matt Damon",8.5,"1,309,317"
The Usual Suspects,1995,Bryan Singer ,"Kevin Spacey, Gabriel Byrne",8.5,"1,074,790"
The Prestige,2006,Christopher Nolan ,"Christian Bale, Hugh Jackman",8.5,"1,316,386"
Casablanca,1942,Michael Curtiz ,"Humphrey Bogart, Ingrid Bergman",8.5,"567,114"
Whiplash,2014,Damien Chazelle ,"Miles Teller, J.K. Simmons",8.5,"838,510"
The Intouchables,2011,Olivier Nakache ,"François Cluzet, Omar Sy",8.5,"846,669"
Hotaru no haka,1988,Isao Takahata ,"Tsutomu Tatsumi, Ayano Shiraishi",8.5,"273,656"
Seppuku,1962,Masaki Kobayashi ,"Tatsuya Nakadai, Akira Ishihama",8.5,"56,203"
Modern Times,1936,Charles Chaplin ,"Charles Chaplin, Paulette Goddard",8.4,"240,938"
Once Upon a Time in the West,1968,Sergio Leone ,"Henry Fonda, Charles Bronson",8.4,"327,427"
Rear Window,1954,Alfred Hitchcock ,"James Stewart, Grace Kelly",8.4,"487,667"
Alien,1979,Ridley Scott ,"Sigourney Weaver, Tom Skerritt",8.4,"871,063"
City Lights,1931,Charles Chaplin ,"Charles Chaplin, Virginia Cherrill",8.4,"183,937"
Nuovo Cinema Paradiso,1988,Giuseppe Tornatore ,"Philippe Noiret, Enzo Cannavale",8.4,"259,000"
Apocalypse Now,1979,Francis Ford Coppola ,"Martin Sheen, Marlon Brando",8.4,"661,372"
Memento,2000,Christopher Nolan ,"Guy Pearce, Carrie-Anne Moss",8.4,"1,225,277"
Raiders of the Lost Ark,1981,Steven Spielberg ,"Harrison Ford, Karen Allen",8.4,"957,039"
Django Unchained,2012,Quentin Tarantino ,"Jamie Foxx, Christoph Waltz",8.4,"1,528,235"
WALL·E,2008,Andrew Stanton ,"Ben Burtt, Elissa Knight",8.4,"1,103,365"
The Lives of Others,2006,Florian Henckel von Donnersmarck ,"Ulrich Mühe, Martina Gedeck",8.4,"387,559"
Sunset Blvd.,1950,Billy Wilder ,"William Holden, Gloria Swanson",8.4,"220,854"
Paths of Glory,1957,Stanley Kubrick ,"Kirk Douglas, Ralph Meeker",8.4,"196,407"
The Shining,1980,Stanley Kubrick ,"Jack Nicholson, Shelley Duvall",8.4,"1,005,530"
The Great Dictator,1940,Charles Chaplin ,"Charles Chaplin, Paulette Goddard",8.4,"222,930"
Avengers: Infinity War,2018,Anthony Russo ,"Robert Downey Jr., Chris Hemsworth",8.4,"1,055,425"
Witness for the Prosecution,1957,Billy Wilder ,"Tyrone Power, Marlene Dietrich",8.4,"124,713"
Aliens,1986,James Cameron ,"Sigourney Weaver, Michael Biehn",8.3,"710,939"
Top Gun: Maverick,2022,Joseph Kosinski ,"Tom Cruise, Jennifer Connelly",8.3,"364,293"
American Beauty,1999,Sam Mendes ,"Kevin Spacey, Annette Bening",8.3,"1,144,876"
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,Stanley Kubrick ,"Peter Sellers, George C. Scott",8.3,"487,462"
Spider-Man: Into the Spider-Verse,2018,Bob Persichetti ,"Shameik Moore, Jake Johnson",8.3,"514,018"
The Dark Knight Rises,2012,Christopher Nolan ,"Christian Bale, Tom Hardy",8.3,"1,683,350"
Oldeuboi,2003,Park Chan-wook ,"Choi Min-sik, Yoo Ji-tae",8.3,"572,425"
Joker,2019,Todd Phillips ,"Joaquin Phoenix, Robert De Niro",8.3,"1,241,686"
Amadeus,1984,Milos Forman ,"F. Murray Abraham, Tom Hulce",8.3,"398,687"
Braveheart,1995,Mel Gibson ,"Mel Gibson, Sophie Marceau",8.3,"1,029,467"
Toy Story,1995,John Lasseter ,"Tom Hanks, Tim Allen",8.3,"982,869"
Inglourious Basterds,2009,Quentin Tarantino ,"Brad Pitt, Diane Kruger",8.3,"1,425,364"
Coco,2017,Lee Unkrich ,"Anthony Gonzalez, Gael García Bernal",8.3,"495,044"
Das Boot,1981,Wolfgang Petersen ,"Jürgen Prochnow, Herbert Grönemeyer",8.3,"250,080"
Mononoke-hime,1997,Hayao Miyazaki ,"Yôji Matsuda, Yuriko Ishida",8.3,"390,386"
Avengers: Endgame,2019,Anthony Russo ,"Robert Downey Jr., Chris Evans",8.3,"1,100,796"
Once Upon a Time in America,1984,Sergio Leone ,"Robert De Niro, James Woods",8.3,"349,433"
Good Will Hunting,1997,Gus Van Sant ,"Robin Williams, Matt Damon",8.3,"954,934"
Kimi no na wa.,2016,Makoto Shinkai ,"Ryûnosuke Kamiki, Mone Kamishiraishi",8.3,"261,913"
Requiem for a Dream,2000,Darren Aronofsky ,"Ellen Burstyn, Jared Leto",8.3,"833,745"
Toy Story 3,2010,Lee Unkrich ,"Tom Hanks, Tim Allen",8.3,"828,405"
Singin' in the Rain,1952,Stanley Donen ,"Gene Kelly, Donald O'Connor",8.3,"240,995"
3 Idiots,2009,Rajkumar Hirani ,"Aamir Khan, Madhavan",8.3,"395,924"
Tengoku to jigoku,1963,Akira Kurosawa ,"Toshirô Mifune, Yutaka Sada",8.3,"44,569"
Star Wars: Episode VI - Return of the Jedi,1983,Richard Marquand ,"Mark Hamill, Harrison Ford",8.3,"1,042,278"
2001: A Space Odyssey,1968,Stanley Kubrick ,"Keir Dullea, Gary Lockwood",8.3,"662,245"
Eternal Sunshine of the Spotless Mind,2004,Michel Gondry ,"Jim Carrey, Kate Winslet",8.3,"996,425"
Reservoir Dogs,1992,Quentin Tarantino ,"Harvey Keitel, Tim Roth",8.3,"1,006,489"
Capharnaüm,2018,Nadine Labaki ,"Zain Al Rafeea, Yordanos Shiferaw",8.3,"88,182"
Jagten,2012,Thomas Vinterberg ,"Mads Mikkelsen, Thomas Bo Larsen",8.3,"326,379"
Lawrence of Arabia,1962,David Lean ,"Peter O'Toole, Alec Guinness",8.3,"292,139"
Citizen Kane,1941,Orson Welles ,"Orson Welles, Joseph Cotten",8.3,"439,634"
M - Eine Stadt sucht einen Mörder,1931,Fritz Lang ,"Peter Lorre, Ellen Widmann",8.3,"157,335"
North by Northwest,1959,Alfred Hitchcock ,"Cary Grant, Eva Marie Saint",8.3,"326,116"
Idi i smotri,1985,Elem Klimov ,"Aleksey Kravchenko, Olga Mironova",8.2,"78,248"
Vertigo,1958,Alfred Hitchcock ,"James Stewart, Kim Novak",8.2,"399,712"
Le fabuleux destin d'Amélie Poulain,2001,Jean-Pierre Jeunet ,"Audrey Tautou, Mathieu Kassovitz",8.2,"751,695"
A Clockwork Orange,1971,Stanley Kubrick ,"Malcolm McDowell, Patrick Magee",8.2,"821,890"
Double Indemnity,1944,Billy Wilder ,"Fred MacMurray, Barbara Stanwyck",8.2,"156,747"
Full Metal Jacket,1987,Stanley Kubrick ,"Matthew Modine, R. Lee Ermey",8.2,"735,869"
The Apartment,1960,Billy Wilder ,"Jack Lemmon, Shirley MacLaine",8.2,"180,748"
Ikiru,1952,Akira Kurosawa ,"Takashi Shimura, Nobuo Kaneko",8.2,"78,138"
Scarface,1983,Brian De Palma ,"Al Pacino, Michelle Pfeiffer",8.2,"829,073"
The Sting,1973,George Roy Hill ,"Paul Newman, Robert Redford",8.2,"260,828"
To Kill a Mockingbird,1962,Robert Mulligan ,"Gregory Peck, John Megna",8.2,"315,231"
Heat,1995,Michael Mann ,"Al Pacino, Robert De Niro",8.2,"648,307"
Taxi Driver,1976,Martin Scorsese ,"Robert De Niro, Jodie Foster",8.2,"818,677"
Up,2009,Pete Docter ,"Edward Asner, Jordan Nagai",8.2,"1,032,460"
L.A. Confidential,1997,Curtis Hanson ,"Kevin Spacey, Russell Crowe",8.2,"579,395"
Incendies,2010,Denis Villeneuve ,"Lubna Azabal, Mélissa Désormeaux-Poulin",8.2,"176,080"
Metropolis,1927,Fritz Lang ,"Brigitte Helm, Alfred Abel",8.2,"173,671"
Jodaeiye Nader az Simin,2011,Asghar Farhadi ,"Payman Maadi, Leila Hatami",8.2,"244,294"
Hamilton,2020,Thomas Kail ,"Lin-Manuel Miranda, Phillipa Soo",8.2,"92,236"
Die Hard,1988,John McTiernan ,"Bruce Willis, Alan Rickman",8.2,"868,435"
Snatch,2000,Guy Ritchie ,"Jason Statham, Brad Pitt",8.2,"848,525"
Indiana Jones and the Last Crusade,1989,Steven Spielberg ,"Harrison Ford, Sean Connery",8.2,"748,495"
Ladri di biciclette,1948,Vittorio De Sica ,"Lamberto Maggiorani, Enzo Staiola",8.2,"162,918"
1917,2019,Sam Mendes ,"Dean-Charles Chapman, George MacKay",8.2,"573,209"
Taare Zameen Par,2007,Aamir Khan ,"Darsheel Safary, Aamir Khan",8.2,"192,280"
Der Untergang,2004,Oliver Hirschbiegel ,"Bruno Ganz, Alexandra Maria Lara",8.2,"354,165"
Per qualche dollaro in più,1965,Sergio Leone ,"Clint Eastwood, Lee Van Cleef",8.2,"255,465"
Batman Begins,2005,Christopher Nolan ,"Christian Bale, Michael Caine",8.2,"1,452,594"
Dangal,2016,Nitesh Tiwari ,"Aamir Khan, Sakshi Tanwar",8.2,"189,060"
The Kid,1921,Charles Chaplin ,"Charles Chaplin, Edna Purviance",8.2,"126,152"
Some Like It Hot,1959,Billy Wilder ,"Marilyn Monroe, Tony Curtis",8.2,"265,891"
All About Eve,1950,Joseph L. Mankiewicz ,"Bette Davis, Anne Baxter",8.2,"131,131"
The Father,2020,Florian Zeller ,"Anthony Hopkins, Olivia Colman",8.2,"147,191"
Green Book,2018,Peter Farrelly ,"Viggo Mortensen, Mahershala Ali",8.2,"480,320"
The Wolf of Wall Street,2013,Martin Scorsese ,"Leonardo DiCaprio, Jonah Hill",8.2,"1,379,393"
Judgment at Nuremberg,1961,Stanley Kramer ,"Spencer Tracy, Burt Lancaster",8.2,"77,519"
Ran,1985,Akira Kurosawa ,"Tatsuya Nakadai, Akira Terao",8.2,"125,203"
Spider-Man: No Way Home,2021,Jon Watts ,"Tom Holland, Zendaya",8.2,"724,247"
Casino,1995,Martin Scorsese ,"Robert De Niro, Sharon Stone",8.2,"514,989"
Unforgiven,1992,Clint Eastwood ,"Clint Eastwood, Gene Hackman",8.2,"409,776"
Pan's Labyrinth,2006,Guillermo del Toro ,"Ivana Baquero, Ariadna Gil",8.2,"664,071"
There Will Be Blood,2007,Paul Thomas Anderson ,"Daniel Day-Lewis, Paul Dano",8.2,"580,873"
The Truman Show,1998,Peter Weir ,"Jim Carrey, Ed Harris",8.2,"1,062,258"
The Sixth Sense,1999,M. Night Shyamalan ,"Bruce Willis, Haley Joel Osment",8.2,"982,919"
A Beautiful Mind,2001,Ron Howard ,"Russell Crowe, Ed Harris",8.2,"924,443"
Monty Python and the Holy Grail,1975,Terry Gilliam ,"Graham Chapman, John Cleese",8.1,"538,265"
Yôjinbô,1961,Akira Kurosawa ,"Toshirô Mifune, Eijirô Tôno",8.1,"122,653"
The Treasure of the Sierra Madre,1948,John Huston ,"Humphrey Bogart, Walter Huston",8.1,"124,769"
Shutter Island,2010,Martin Scorsese ,"Leonardo DiCaprio, Emily Mortimer",8.1,"1,289,183"
Jurassic Park,1993,Steven Spielberg ,"Sam Neill, Laura Dern",8.1,"977,659"
Rashômon,1950,Akira Kurosawa ,"Toshirô Mifune, Machiko Kyô",8.1,"167,902"
The Great Escape,1963,John Sturges ,"Steve McQueen, James Garner",8.1,"243,726"
Kill Bill: Vol. 1,2003,Quentin Tarantino ,"Uma Thurman, David Carradine",8.1,"1,102,533"
No Country for Old Men,2007,Ethan Coen ,"Tommy Lee Jones, Javier Bardem",8.1,"959,764"
Finding Nemo,2003,Andrew Stanton ,"Albert Brooks, Ellen DeGeneres",8.1,"1,033,615"
The Elephant Man,1980,David Lynch ,"Anthony Hopkins, John Hurt",8.1,"240,056"
Chinatown,1974,Roman Polanski ,"Jack Nicholson, Faye Dunaway",8.1,"324,821"
Raging Bull,1980,Martin Scorsese ,"Robert De Niro, Cathy Moriarty",8.1,"351,781"
The Thing,1982,John Carpenter ,"Kurt Russell, Wilford Brimley",8.1,"418,982"
Gone with the Wind,1939,Victor Fleming ,"Clark Gable, Vivien Leigh",8.1,"314,194"
V for Vendetta,2005,James McTeigue ,"Hugo Weaving, Natalie Portman",8.1,"1,112,298"
Inside Out,2015,Pete Docter ,"Amy Poehler, Bill Hader",8.1,"703,771"
"Lock, Stock and Two Smoking Barrels",1998,Guy Ritchie ,"Jason Flemyng, Dexter Fletcher",8.1,"578,352"
Dial M for Murder,1954,Alfred Hitchcock ,"Ray Milland, Grace Kelly",8.1,"175,133"
El secreto de sus ojos,2009,Juan José Campanella ,"Ricardo Darín, Soledad Villamil",8.1,"208,917"
Hauru no ugoku shiro,2004,Hayao Miyazaki ,"Chieko Baishô, Takuya Kimura",8.1,"389,850"
The Bridge on the River Kwai,1957,David Lean ,"William Holden, Alec Guinness",8.1,"219,974"
"Three Billboards Outside Ebbing, Missouri",2017,Martin McDonagh ,"Frances McDormand, Woody Harrelson",8.1,"499,933"
Trainspotting,1996,Danny Boyle ,"Ewan McGregor, Ewen Bremner",8.1,"682,309"
Warrior,2011,Gavin O'Connor ,"Tom Hardy, Nick Nolte",8.1,"469,781"
Gran Torino,2008,Clint Eastwood ,"Clint Eastwood, Bee Vang",8.1,"770,836"
Fargo,1996,Joel Coen ,"William H. Macy, Frances McDormand",8.1,"673,049"
Prisoners,2013,Denis Villeneuve ,"Hugh Jackman, Jake Gyllenhaal",8.1,"698,662"
Tonari no Totoro,1988,Hayao Miyazaki ,"Hitoshi Takagi, Noriko Hidaka",8.1,"335,213"
Million Dollar Baby,2004,Clint Eastwood ,"Hilary Swank, Clint Eastwood",8.1,"683,484"
Catch Me If You Can,2002,Steven Spielberg ,"Leonardo DiCaprio, Tom Hanks",8.1,"964,727"
The Gold Rush,1925,Charles Chaplin ,"Charles Chaplin, Mack Swain",8.1,"111,122"
Blade Runner,1982,Ridley Scott ,"Harrison Ford, Rutger Hauer",8.1,"761,812"
On the Waterfront,1954,Elia Kazan ,"Marlon Brando, Karl Malden",8.1,"154,752"
Bacheha-Ye aseman,1997,Majid Majidi ,"Mohammad Amir Naji, Amir Farrokh Hashemian",8.1,"74,677"
The Third Man,1949,Carol Reed ,"Orson Welles, Joseph Cotten",8.1,"171,309"
Before Sunrise,1995,Richard Linklater ,"Ethan Hawke, Julie Delpy",8.1,"305,300"
Ben-Hur,1959,William Wyler ,"Charlton Heston, Jack Hawkins",8.1,"238,579"
12 Years a Slave,2013,Steve McQueen ,"Chiwetel Ejiofor, Michael Kenneth Williams",8.1,"695,567"
Smultronstället,1957,Ingmar Bergman ,"Victor Sjöström, Bibi Andersson",8.1,"107,148"
Harry Potter and the Deathly Hallows: Part 2,2011,David Yates ,"Daniel Radcliffe, Emma Watson",8.1,"864,104"
Gone Girl,2014,David Fincher ,"Ben Affleck, Rosamund Pike",8.1,"970,548"
The General,1926,Clyde Bruckman ,"Buster Keaton, Marion Mack",8.1,"91,234"
The Deer Hunter,1978,Michael Cimino ,"Robert De Niro, Christopher Walken",8.1,"337,801"
In the Name of the Father,1993,Jim Sheridan ,"Daniel Day-Lewis, Pete Postlethwaite",8.1,"174,431"
