Title,Author,Rate,Rate Count,Paper Type,Price(£)
The Bullet That Missed,Richard Osman,4.7 out of 5 stars,No rate found...,Hardcover,10.00
One,Jamie Oliver,4.6 out of 5 stars,412,Hardcover,14.00
How to Be Confident,James Smith,4.7 out of 5 stars,125,Hardcover,10.00
Menopausing,Davina McCall,4.5 out of 5 stars,41,Hardcover,11.00
It Ends With Us,Colleen Hoover,4.6 out of 5 stars,No rate found...,Paperback,4.50
Verity,Colleen Hoover,4.5 out of 5 stars,No rate found...,Paperback,6.29
Cook and Share,Mary Berry,4.8 out of 5 stars,33,Hardcover,13.50
Why Has Nobody Told Me This Before?,Dr Julie Smith,4.6 out of 5 stars,No rate found...,Hardcover,8.00
I'm Glad My Mom Died,Jennette McCurdy,4.8 out of 5 stars,No rate found...,Hardcover,10.00
The Baddies,Julia Donaldson,4.6 out of 5 stars,153,Hardcover,6.49
David Walliams,David Walliams,No rate found...,No rate found...,Hardcover,7.49
Nostradamus,Mario Reading,4.4 out of 5 stars,618,Paperback,11.04
Undoctored,Adam Kay,4.4 out of 5 stars,76,Hardcover,11.00
Colleen Hoover,Colleen Hoover,No rate found...,No rate found...,Hardcover,7.49
The Ink Black Heart,Robert Galbraith,4.2 out of 5 stars,No rate found...,Hardcover,12.50
The official highway code,Driver & Vehicle Standards Agency,4.7 out of 5 stars,No rate found...,Paperback,4.24
Paddington at the Palace,Michael Bond,4.8 out of 5 stars,146,Paperback,6.47
The Man Who Died Twice,Richard Osman,4.7 out of 5 stars,No rate found...,Paperback,4.50
Fairy Tale,Stephen King,4.6 out of 5 stars,No rate found...,Hardcover,11.00
Nadiya’s Everyday Baking,Nadiya Hussain,4.4 out of 5 stars,35,Hardcover,12.50
The Thursday Murder Club,Richard Osman,4.4 out of 5 stars,No rate found...,Paperback,4.50
Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,4.6 out of 5 stars,No rate found...,Paperback,4.50
Fire and Blood,Martin,4.5 out of 5 stars,No rate found...,Paperback,5.00
An Inspector Calls (Heinemann Plays For 14-16+),J.B. Priestley,4.6 out of 5 stars,No rate found...,Hardcover,8.49
Act of Oblivion,Robert Harris,4.4 out of 5 stars,765,Hardcover,10.00
Maria Isabel Sanchez Vegara,Maria Isabel Sanchez Vegara,No rate found...,No rate found...,Hardcover,8.60
Reminders of Him,Colleen Hoover,4.6 out of 5 stars,No rate found...,Paperback,5.99
Queen of Our Times,Robert Hardman,4.6 out of 5 stars,838,Hardcover,10.00
Who I Am,Melanie C,4.5 out of 5 stars,19,Hardcover,10.00
The Paper Palace,Miranda Cowley Heller,4.2 out of 5 stars,No rate found...,Paperback,4.49
